id,nome,descricao,nivel_de_dificuldade,nivel_de_esforco,numero_de_sequencia,nome,descricao,nivel_de_dificuldade,nivel_de_esforco
1,Treino Casual Leve Misto,"Um treinamento diversificado com sequências curtas de crawl, peito, costas e borboleta",2,2,1,200 m crawl,Percurso curto e rápido de crawl para treinar força,3,5
1,Treino Casual Leve Misto,"Um treinamento diversificado com sequências curtas de crawl, peito, costas e borboleta",2,2,2,200 m costas,Percurso curto e rápido de crawl para treinar força,3,5
1,Treino Casual Leve Misto,"Um treinamento diversificado com sequências curtas de crawl, peito, costas e borboleta",2,2,3,200 m borboleta,Percurso curto e rápido de crawl para treinar força,3,5
1,Treino Casual Leve Misto,"Um treinamento diversificado com sequências curtas de crawl, peito, costas e borboleta",2,2,4,200 m peito,Percurso curto e rápido de crawl para treinar força,3,5
1,Treino Casual Leve Misto,"Um treinamento diversificado com sequências curtas de crawl, peito, costas e borboleta",2,2,5,200 m crawl,Percurso curto e rápido de crawl para treinar força,3,5
1,Treino Casual Leve Misto,"Um treinamento diversificado com sequências curtas de crawl, peito, costas e borboleta",2,2,6,200 m costas,Percurso curto e rápido de crawl para treinar força,3,5
1,Treino Casual Leve Misto,"Um treinamento diversificado com sequências curtas de crawl, peito, costas e borboleta",2,2,7,200 m borboleta,Percurso curto e rápido de crawl para treinar força,3,5
1,Treino Casual Leve Misto,"Um treinamento diversificado com sequências curtas de crawl, peito, costas e borboleta",2,2,8,200 m peito,Percurso curto e rápido de crawl para treinar força,3,5
1,Treino Casual Leve Misto,"Um treinamento diversificado com sequências curtas de crawl, peito, costas e borboleta",2,2,9,400 m livre,Percurso livre,2,2
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,1,200 m crawl,Percurso curto e rápido de crawl para treinar força,3,5
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,2,200 m costas,Percurso curto e rápido de crawl para treinar força,3,5
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,3,200 m borboleta,Percurso curto e rápido de crawl para treinar força,3,5
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,4,200 m peito,Percurso curto e rápido de crawl para treinar força,3,5
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,5,400 m medley,"Percurso clássico de borboleta, costas, peito, crawl",6,5
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,6,400 m crawl,Percurso médio de crawl para treinar força e dosar fôlego,3,5
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,7,400 m costas,Percurso médio de costas para treinar força e dosar fôlego,3,5
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,8,400 m peito,Percurso médio de peito para treinar força e dosar fôlego,3,5
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,9,400 m borboleta,Percurso médio de borboleta para treinar força e dosar fôlego,3,5
2,Treino Casual Misto Longo,"Um treinamento diversificado com diversas sequências de crawl, peito, costas e borboleta",3,6,10,400 m livre,Percurso livre,2,2
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,1,100 m crawl,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,2,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,3,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,4,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,5,100 m crawl,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,6,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,7,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,8,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,9,100 m crawl,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,10,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,11,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,12,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,13,50 m crawl,Percurso mais rápido para sprint,6,5
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,14,50 m crawl,Percurso mais rápido para sprint,6,5
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,15,50 m crawl,Percurso mais rápido para sprint,6,5
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,16,50 m crawl,Percurso mais rápido para sprint,6,5
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,17,100 m crawl,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,18,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,19,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,20,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,21,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,22,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,23,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,24,100 m peito,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,25,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,26,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,27,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,28,100 m costas,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,29,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,30,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,31,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,32,100 m borboleta,Percurso para sprint,2,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,33,200 m medley,Percurso medley para sprint,6,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,34,200 m livre,Percurso livre,1,1
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,35,200 m medley,Percurso medley para sprint,6,6
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,36,200 m livre,Percurso livre,1,1
3,Treino Pesado Sprints Variados,Um treinamento com sequências curtas de sprint de várias modalidades,5,7,37,800 m livre,Percurso livre,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,1,400 m medley,"Percurso clássico de borboleta, costas, peito, crawl",6,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,2,800 m crawl,Percurso crawl para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,3,800 m costas,Percurso costas para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,4,800 m peito,Percurso peito para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,5,800 m borboleta,Percurso borboleta para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,6,800 m crawl,Percurso crawl para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,7,800 m costas,Percurso costas para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,8,800 m peito,Percurso peito para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,9,800 m borboleta,Percurso borboleta para endurance,5,5
4,Treino Endurance Misto,"Um treinamento diversificado com sequências de longa duração de crawl, peito, costas e borboleta",8,9,10,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,1,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,2,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,3,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,4,400 m livre,Percurso livre,2,2
5,Treino livre,Faça o que quiser num percurso de 2000 m,1,4,5,400 m livre,Percurso livre,2,2
